Movie Name,Year,Director,Link,Rating
Babam ve Oglum,2005,Çagan Irmak ,imdb.com/title/tt0476735/,8.1
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh ,imdb.com/title/tt5027774/,8.1
Dial M for Murder,1954,Alfred Hitchcock ,imdb.com/title/tt0046912/,8.1
The Gold Rush,1925,Charles Chaplin ,imdb.com/title/tt0015864/,8.1
Chinatown,1974,Roman Polanski ,imdb.com/title/tt0071315/,8.1
V for Vendetta,2005,James McTeigue ,imdb.com/title/tt0434409/,8.1
Det sjunde inseglet,1957,Ingmar Bergman ,imdb.com/title/tt0050976/,8.1
No Country for Old Men,2007,Ethan Coen ,imdb.com/title/tt0477348/,8.1
Inside Out,2015,Pete Docter ,imdb.com/title/tt2096673/,8.1
Shutter Island,2010,Martin Scorsese ,imdb.com/title/tt1130884/,8.1
Warrior,2011,Gavin O'Connor ,imdb.com/title/tt1291584/,8.1
The Elephant Man,1980,David Lynch ,imdb.com/title/tt0080678/,8.1
Trainspotting,1996,Danny Boyle ,imdb.com/title/tt0117951/,8.1
The Sixth Sense,1999,M. Night Shyamalan ,imdb.com/title/tt0167404/,8.1
The Thing,1982,John Carpenter ,imdb.com/title/tt0084787/,8.1
Jurassic Park,1993,Steven Spielberg ,imdb.com/title/tt0107290/,8.1
Gone with the Wind,1939,Victor Fleming ,imdb.com/title/tt0031381/,8.1
Smultronstället,1957,Ingmar Bergman ,imdb.com/title/tt0050986/,8.1
Room,2015,Lenny Abrahamson ,imdb.com/title/tt3170832/,8.1
Blade Runner,1982,Ridley Scott ,imdb.com/title/tt0083658/,8.1
Finding Nemo,2003,Andrew Stanton ,imdb.com/title/tt0266543/,8.1
The Bridge on the River Kwai,1957,David Lean ,imdb.com/title/tt0050212/,8.1
Stalker,1979,Andrei Tarkovsky ,imdb.com/title/tt0079944/,8.1
The Truman Show,1998,Peter Weir ,imdb.com/title/tt0120382/,8.1
Kill Bill: Vol. 1,2003,Quentin Tarantino ,imdb.com/title/tt0266697/,8.1
On the Waterfront,1954,Elia Kazan ,imdb.com/title/tt0047296/,8.1
Fargo,1996,Joel Coen ,imdb.com/title/tt0116282/,8.1
The Third Man,1949,Carol Reed ,imdb.com/title/tt0041959/,8.1
Gran Torino,2008,Clint Eastwood ,imdb.com/title/tt1205489/,8.1
Tôkyô monogatari,1953,Yasujirô Ozu ,imdb.com/title/tt0046438/,8.1
